teste	myeureka	myzuul	myservice1	myservice2	delay	size	repeat	rampup	threads	timeout	samples	avg	min	max	90% perc	std dev	Err %	throughput	rec kB/s	sem kB/s	avg Bytes	Err	504	500	404	Conn. Timeout	conn. Reset	conn. Refused	host unreachable	no HTTP response	Too many open files
			3072	3072	100	1024	1	2	10000		10000	104	6	199		7.01942012134913	0.0002	608.013619505077	108.072639577127	90.8457849455828	182.013										
			3072	3072	200	1024	1	2	10000		10000	1162	2	4938		591.613735205531	0.2702	571.069613385872	111.293325445434	85.3258309062875	199.563										
																															
			3072	3072	0	524288	1	2	10000		10000	4	1	89		4.11837379435136	0	583.839327417095	103.768317958898	87.2338057566558	182										
			3072	3072	100	524288	1	2	10000		10000	106	14	170		7.13086868200512	0.0006	486.973459946433	86.5704703859265	73.7118030192355	182.039										
			3072	3072	200	524288	1	2	10000		10000	614	3	4562		419.437419520529	0.2719	599.664188054689	116.930710208533	90.7694815903094	199.6735										
																															
			3072	3072	0	1024	1	4	10000		10000	3	1	73		3.02808152961574	0	634.678852500635	112.804249174918	93.5903386011678	182										
			3072	3072	100	1024	1	4	10000		10000	104	8	191		7.37150118700385	0.0002	551.085638708255	97.9538577716852	82.3399440648077	182.013										
			3072	3072	200	1024	1	4	10000		10000	1036	3	3412		526.02216489802	0.2922	613.647520864016	120.448101719747	91.6875690353461	200.993										
																															
			3072	3072	0	524288	1	4	10000		10000	5	1	73		4.91975783042214	0	567.988185845734	100.951025218675	84.8654222992162	182										
			3072	3072	110	524288	1	4	10000		10000	118	8	244		11.4015531393754	0.0007	415.990681808728	73.9543277980573	62.9673395315945	182.0455										
			3072	3072	200	524288	1	4	10000		10000	538	3	4013		312.788519535868	0.2588	594.071169726133	115.3461114329	89.9228821362799	198.822										
																															
			3072	3072	0	1024	1	8	10000		10000	3	1	69		2.92595234240068	0	611.172228333945	108.626314020291	90.1240297640875	182										
			3072	3072	110	1024	1	8	10000		10000	114	4	228		8.22955019366172	0.0007	620.616893191833	110.332531864799	92.7288912679203	182.0455										
			3072	3072	200	1024	1	8	10000		10000	944	2	4512		643.757654535183	0.3013	622.93652276833	122.631198705071	93.0754765464399	201.5845										
																															
			3072	3072	0	524288	1	8	10000		10000	5	1	78		4.63001079912348	0	610.314311870613	108.473832773879	91.1895407384803	182										
			3072	3072	110	524288	1	8	10000		10000	116	3	268		10.5768012361961	0.001	533.418680322185	94.8406953445885	80.7420854003307	182.065										
			3072	3072	200	524288	1	8	10000		10000	315	2	2138		239.674808422558	0.2637	609.087586794981	118.451178298971	92.1958749543184	199.1405										
																															
			3072	3072	0	1024	1	16	10000		10000	3	1	90		4.57267334389851	0	499.800079968013	88.8316548380648	73.7009883546581	182										
			3072	3072	110	1024	1	16	10000		10000	117	2	513		25.8064806984602	0.0058	497.017892644135	88.5201486394135	74.2614624751491	182.377										
			3072	3072	200	1024	1	16	10000		10000	194	2	679		69.710142635846	0.1049	495.098524606397	91.2927351253837	73.9746818991979	188.8185										
																															
			3072	3072	0	524288	1	16	10000		10000	5	1	135		7.82479757629551	0	499.975001249937	88.8627443627819	74.7032960851957	182										
			3072	3072	110	524288	1	16	10000		10000	119	4	340		23.3884643010181	0.0071	496.302546032061	88.4336982449501	75.1239205419624	182.4615										
			3072	3072	200	524288	1	16	10000		10000	196	2	582		65.8163690858133	0.0953	495.000495000495	90.973018219112	74.9268327393327	188.1945										
																															
